nama,lat,lon,status1,status2,status3
Kota Banda Aceh,5.55870440391002,95.3277134583266,hujan,hujan,tidak
Kota Denpasar,-8.66835608168269,115.2208162921,hujan,hujan,tidak
Kota Serang,-6.12332358763203,106.166750570902,tidak,hujan,tidak
Kota Bengkulu,-3.84139690446116,102.308157669406,tidak,hujan,tidak
Kota Yogyakarta,-7.80329751928415,110.374357934988,tidak,hujan,tidak
Kota Adm. Jakarta Pusat,-6.18125694125157,106.834784774168,tidak,tidak,tidak
Gorontalo,0.692899344662217,122.712517841215,tidak,tidak,tidak
Kota Jambi,-1.61817742211564,103.599789139004,tidak,tidak,tidak
Kota Bandung,-6.91924138115648,107.636600627049,tidak,tidak,tidak
Kota Semarang,-7.02389860537421,110.391522631628,tidak,tidak,tidak
Kota Surabaya,-7.27432281901427,112.723584124473,tidak,tidak,tidak
Kota Pontianak,-0.025780638444224,109.331697469047,tidak,tidak,tidak
Kota Banjarmasin,-3.32912147950181,114.591798684968,tidak,tidak,tidak
Kota Palangkaraya,-2.0074642795733,113.767474262674,tidak,tidak,tidak
Kota Samarinda,-0.500279726383097,117.177063454092,tidak,tidak,tidak
Kota Tarakan,3.35940546608596,117.599511456185,tidak,tidak,tidak
Kota Pangkal Pinang,-2.11051314883955,106.113210199045,tidak,tidak,tidak
Kota Tanjung Pinang,0.919578460541912,104.487065494625,tidak,tidak,tidak
Kota Bandar Lampung,-5.41419718001887,105.262131927314,tidak,tidak,tidak
Kota Ambon,-3.68535713258351,128.194975582947,tidak,tidak,tidak
Kota Ternate,0.838480554811686,127.172526859473,tidak,tidak,tidak
Kota Mataram,-8.59015438222982,116.110958590484,tidak,tidak,tidak
Kota Kupang,-10.204506383998,123.60454402768,tidak,tidak,tidak
Kota Jayapura,-2.66452600790919,140.800136365246,tidak,tidak,tidak
Kota Pekanbaru,0.551276552593408,101.4657262946,tidak,tidak,tidak
Mamuju,-2.51969779073573,119.344575969858,tidak,tidak,tidak
Kota Makassar,-5.13561023881023,119.46389981932,tidak,tidak,tidak
Kota Kendari,-3.99757984247291,122.532614890591,tidak,tidak,tidak
Kota Manado,1.52492088852475,124.847900095379,tidak,tidak,tidak
Kota Padang,-0.89887185002082,100.437643670514,tidak,tidak,tidak
Kota Palembang,-2.97171944977744,104.741319725169,tidak,tidak,tidak
Kota Medan,3.62894711039971,98.6673644708913,tidak,tidak,tidak
